Image_name,Type,Mal-Ben,solidity,eccentricity,perimeter
ISIC_0028795.jpg,akiec,malignant,1.0,0,0.0
ISIC_0029460.jpg,akiec,malignant,1.0,0,0.0
ISIC_0029851.jpg,akiec,malignant,0.6652814814814815,0.6562793571050438,447.04974034762756
ISIC_0031993.jpg,akiec,malignant,0.42789453276463746,0.8813854253862441,2136.886650059869
ISIC_0028232.jpg,akiec,malignant,1.0,0,0.0
ISIC_0033000.jpg,akiec,malignant,0.6040948942753996,0.9221603624744328,1034.329637783608
ISIC_0029500.jpg,akiec,malignant,0.5232424379095235,0.7445587589174882,1216.4753435410053
ISIC_0032135.jpg,akiec,malignant,1.0,1.0,0.0
ISIC_0029059.jpg,akiec,malignant,0.8565316194192586,0.37609522736507117,283.870567786678
ISIC_0029930.jpg,akiec,malignant,1.0,0,0.0
ISIC_0027896.jpg,akiec,malignant,0.625,0.9112765119137952,4.6627416997969515
ISIC_0033413.jpg,akiec,malignant,0.6666666666666666,0.7438583753625178,13.19116882454314
ISIC_0031012.jpg,akiec,malignant,1.0,1.0,0.0
ISIC_0028231.jpg,akiec,malignant,1.0,0,0.0
ISIC_0029715.jpg,akiec,malignant,0.8575478861280779,0.6703624756087917,139.64163805651637
ISIC_0028190.jpg,akiec,malignant,1.0,0,0.0
ISIC_0026625.jpg,akiec,malignant,1.0,0,0.0
ISIC_0026194.jpg,akiec,malignant,0.7686523396590005,0.4484682789397269,597.0724675149561
ISIC_0028393.jpg,akiec,malignant,0.4444444444444444,0.826610295655187,11.323520916159046
ISIC_0031198.jpg,akiec,malignant,1.0,0,0.0
ISIC_0031211.jpg,akiec,malignant,0.8075888888888889,0.6634951074460763,123.2323071454715
ISIC_0030655.jpg,akiec,malignant,0.6365406409660939,0.6685600462615807,905.2963324293877
ISIC_0029462.jpg,akiec,malignant,1.0,0,0.0
ISIC_0033358.jpg,akiec,malignant,1.0,1.0,0.0
ISIC_0025089.jpg,akiec,malignant,0.4326530612244898,0.9713978139490631,52.640222951746686
ISIC_0026152.jpg,akiec,malignant,0.5118617561967316,0.772086415520886,896.5291866342801
ISIC_0030297.jpg,akiec,malignant,0.75,0.97372313034591,0.48570226039551584
ISIC_0027884.jpg,akiec,malignant,1.0,1.0,0.0
ISIC_0029659.jpg,akiec,malignant,1.0,0,0.0
ISIC_0030877.jpg,akiec,malignant,1.0,0,0.0
ISIC_0024800.jpg,akiec,malignant,0.7439666666666667,0.6530841139838082,724.0954491343593
ISIC_0025539.jpg,akiec,malignant,0.8557888186794871,0.6639992711833638,135.63714506479295
ISIC_0029840.jpg,akiec,malignant,1.0,0,0.0
ISIC_0024579.jpg,akiec,malignant,0.6986873642845872,0.6761912024345853,778.0195978961057
